id	distance	n_neighbors	resolution	random_state	n_clusters
C324	cosine	15	0.3	2	9
C325	cosine	15	0.5	2	12
C326	cosine	15	0.8	2	19
C327	cosine	15	1.0	2	21
C328	cosine	15	2.0	2	34
C329	cosine	15	5.0	2	64
C330	cosine	15	10.0	2	117
C331	cosine	30	0.01	0	2
C332	cosine	30	0.05	0	4
C333	cosine	30	0.1	0	5
C334	cosine	30	0.2	0	8
C335	cosine	30	0.3	0	10
C336	cosine	30	0.5	0	13
C337	cosine	30	0.8	0	17
C338	cosine	30	1.0	0	19
C339	cosine	30	2.0	0	29
C340	cosine	30	5.0	0	59
C341	cosine	30	10.0	0	100
C342	cosine	30	0.01	1	2
C343	cosine	30	0.05	1	5
C344	cosine	30	0.1	1	5
C345	cosine	30	0.2	1	9
C346	cosine	30	0.3	1	10
C347	cosine	30	0.5	1	13
C348	cosine	30	0.8	1	17
C349	cosine	30	1.0	1	19
C350	cosine	30	2.0	1	29
C351	cosine	30	5.0	1	61
C352	cosine	30	10.0	1	106
C353	cosine	30	0.01	2	2
C354	cosine	30	0.05	2	4
C355	cosine	30	0.1	2	5
C356	cosine	30	0.2	2	8
C357	cosine	30	0.3	2	10
C358	cosine	30	0.5	2	14
C359	cosine	30	0.8	2	17
C360	cosine	30	1.0	2	19
C361	cosine	30	2.0	2	31
C362	cosine	30	5.0	2	57
C363	cosine	30	10.0	2	102
C364	cosine	50	0.01	0	2
C365	cosine	50	0.05	0	4
C366	cosine	50	0.1	0	5
C367	cosine	50	0.2	0	6
C368	cosine	50	0.3	0	9
C369	cosine	50	0.5	0	12
C370	cosine	50	0.8	0	16
C371	cosine	50	1.0	0	19
C372	cosine	50	2.0	0	29
C373	cosine	50	5.0	0	56
C374	cosine	50	10.0	0	98
C375	cosine	50	0.01	1	2
C376	cosine	50	0.05	1	4
C377	cosine	50	0.1	1	5
C378	cosine	50	0.2	1	7
C379	cosine	50	0.3	1	9
C380	cosine	50	0.5	1	12
C381	cosine	50	0.8	1	17
C382	cosine	50	1.0	1	21
C383	cosine	50	2.0	1	28
C384	cosine	50	5.0	1	58
C385	cosine	50	10.0	1	99
C386	cosine	50	0.01	2	2
C387	cosine	50	0.05	2	5
C388	cosine	50	0.1	2	5
C389	cosine	50	0.2	2	8
C390	cosine	50	0.3	2	9
C391	cosine	50	0.5	2	12
C392	cosine	50	0.8	2	16
C393	cosine	50	1.0	2	20
C394	cosine	50	2.0	2	26
C395	cosine	50	5.0	2	55
C396	cosine	50	10.0	2	101
